snapshot,Generation,Load
2021-07-01 00:00:00,0.0,0.213194451
2021-07-01 01:00:00,0.0,0.19822326799999998
2021-07-01 02:00:00,0.0,0.187110567
2021-07-01 03:00:00,0.0,0.18569159600000001
2021-07-01 04:00:00,0.0,0.181821932
2021-07-01 05:00:00,0.0,0.174591476
2021-07-01 06:00:00,0.0,0.180716115
2021-07-01 07:00:00,0.0,0.196144443
2021-07-01 08:00:00,0.0,0.217640091
2021-07-01 09:00:00,0.0,0.23095604
2021-07-01 10:00:00,0.0,0.23171096
2021-07-01 11:00:00,0.0,0.23517800000000003
2021-07-01 12:00:00,0.0,0.24669752
2021-07-01 13:00:00,0.0,0.2374847
2021-07-01 14:00:00,0.0,0.2314034
2021-07-01 15:00:00,0.0,0.22139372
2021-07-01 16:00:00,0.0,0.219502227
2021-07-01 17:00:00,0.0,0.23063450000000002
2021-07-01 18:00:00,0.0,0.26217337999999996
2021-07-01 19:00:00,0.0,0.28276592
2021-07-01 20:00:00,0.0,0.28247234
2021-07-01 21:00:00,0.0,0.27127436
2021-07-01 22:00:00,0.0,0.26435426
2021-07-01 23:00:00,0.0,0.24935372000000003
