snapshot,Generation,Load
2021-07-01 00:00:00,19.515,0.0
2021-07-01 01:00:00,19.4926,0.0
2021-07-01 02:00:00,19.472,0.0
2021-07-01 03:00:00,19.4694,0.0
2021-07-01 04:00:00,19.2103,0.0
2021-07-01 05:00:00,16.5929,0.0
2021-07-01 06:00:00,11.5856,0.0
2021-07-01 07:00:00,5.75199,0.0
2021-07-01 08:00:00,0.634795,0.0
2021-07-01 09:00:00,0.0,0.0
2021-07-01 10:00:00,0.0,0.0
2021-07-01 11:00:00,0.0,0.0
2021-07-01 12:00:00,0.0,0.0
2021-07-01 13:00:00,0.0,0.0
2021-07-01 14:00:00,0.0,0.0
2021-07-01 15:00:00,0.0,0.0
2021-07-01 16:00:00,0.0,0.0
2021-07-01 17:00:00,4.49759,0.0
2021-07-01 18:00:00,8.5646,0.0
2021-07-01 19:00:00,14.3295,0.0
2021-07-01 20:00:00,18.4787,0.0
2021-07-01 21:00:00,19.5122,0.0
2021-07-01 22:00:00,19.5132,0.0
2021-07-01 23:00:00,19.515,0.0
