snapshot,Generation,Load
2021-07-01 00:00:00,0.0,0.18370150600000001
2021-07-01 01:00:00,0.0,0.165301302
2021-07-01 02:00:00,0.0,0.15164333
2021-07-01 03:00:00,0.0,0.14989935599999998
2021-07-01 04:00:00,0.0,0.145143378
2021-07-01 05:00:00,0.0,0.13625684799999999
2021-07-01 06:00:00,0.0,0.14378428399999998
2021-07-01 07:00:00,0.0,0.162746338
2021-07-01 08:00:00,0.0,0.189165382
2021-07-01 09:00:00,0.0,0.205531236
2021-07-01 10:00:00,0.0,0.206459064
2021-07-01 11:00:00,0.0,0.2107202
2021-07-01 12:00:00,0.0,0.22487816800000004
2021-07-01 13:00:00,0.0,0.21355522999999998
2021-07-01 14:00:00,0.0,0.20608106000000004
2021-07-01 15:00:00,0.0,0.193778748
2021-07-01 16:00:00,0.0,0.191454024
2021-07-01 17:00:00,0.0,0.20513605
2021-07-01 18:00:00,0.0,0.24389864200000003
2021-07-01 19:00:00,0.0,0.269207728
2021-07-01 20:00:00,0.0,0.268846906
2021-07-01 21:00:00,0.0,0.25508412399999997
2021-07-01 22:00:00,0.0,0.246579034
2021-07-01 23:00:00,0.0,0.228142748
